
,"LISTA DE PRECIOS DELTRON"

,"Generada el :"2024-02-01 06:58:16
,"Almacen(es) :,'AREQUIPA'"
,"Almacen(es) :"
,"TIPO DE CAMBIO :3.820"
,"__________________________________"


"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 5 SAM4 3XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 5 sam4 3xxx","cpam4r53600","procesador amd ryzen 5 3600, 3.6 / 4.2ghz, 32mb l3 cache, 6-cores, am4, 7nm, tdp: 65w",>20,193.86, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 5 SAM4 4XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 5 sam4 4xxx","cpam4r54650gmpk","procesador amd ryzen 5 pro 4650g, 3.70 / 4.20ghz,8mb l3, 6-core, am4, 7nm, 65w.[@@@]i",>20,130.55, ,"","F","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 7 SAM5 7XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 7 sam5 7xxx","cpam5r77700x","procesador amd ryzen 7 7700x 4.5/5.4ghz, 32mb l3,8-core, am5, 105w.[@@@]integra contr",2,343.71, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 9 SAM5 7XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 9 sam5 7xxx","cpam5r97900","procesador amd ryzen 9 7900 3.7/5.4ghz, 64mb l3, 12-core, am5, 65w.[@@@]integra contr",4,398.99, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI3 10XXX S1200","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci3 10xxx s1200","cpili310100","procesador intel core i3-10100, 3.60 ghz, 6 mb caché l3, lga1200, 65w, 14 nm.[@@@]vid",>20,125.52, ,"","W","intel corp"
"cpu ci3 10xxx s1200","cpili310105f","procesador intel core i3-10105f 3.70 / 4.40 ghz, 6 mb caché l3, lga1200, 65w, 14 nm.[",8,84.42, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI3 12XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci3 12xxx s1700","cpili312100","procesador intel core i3-12100 3.3 / 4.3ghz 12mb intel smart caché, lga1700, intel 7(",>20,143.61, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
